from,to,weight,relationship,time
AW,UL,,1,
AW,LK,,1,
AW,SW,,1,
AW,NR,,1,
AW,CS,,1,
UL,AW,,1,
UL,LK,,2,
UL,SW,,2,
UL,NR,,2,
UL,CS,,1,
LK,AW,,1,
LK,UL,,2,
LK,SW,,2,
LK,NR,,2,
LK,CS,,1,
SW,AW,,1,
SW,UL,,2,
SW,LK,,2,
SW,NR,,2,
SW,CS,,1,
NR,AW,,1,
NR,UL,,2,
NR,LK,,2,
NR,SW,,2,
NR,CS,,1,
CS,AW,,1,
CS,UL,,1,
CS,LK,,1,
CS,SW,,1,
CS,NR,,1,
AW,CL,,1,
AW,KS,,1,
AW,LM,,1,
AW,KD,,1,
AW,NR,,1,
CL,AW,,1,
CL,KS,,1,
CL,LK,,1,
CL,KD,,1,
CL,NR,,2,
KS,AW,,1,
KS,CL,,1,
KS,LM,,1,
KS,KD,,1,
KS,NR,,1,
LM,AW,,1,
LM,CL,,1,
LM,KS,,1,
LM,KD,,1,
LM,NR,,1,
KD,AW,,1,
KD,CL,,1,
KD,KS,,1,
KD,LM,,1,
KD,NR,,1,
NR,AW,,1,
NR,CL,,2,
NR,KS,,1,
NR,LM,,1,
NR,KD,,1,
AW,AB,,1,
AW,FT,,1,
AW,AM,,1,
AW,AL,,1,
AW,ER,,1,
AB,AW,,1,
AB,FT,,1,
AB,AM,,1,
AB,AL,,2,
AB,ER,,1,
FT,AW,,1,
FT,AB,,1,
FT,AM,,1,
FT,AL,,1,
FT,ER,,1,
AM,AW,,1,
AM,AB,,1,
AM,FT,,1,
AM,AL,,1,
AM,ER,,1,
AL,AW,,1,
AL,AB,,2,
AL,FT,,1,
AL,AM,,1,
AL,ER,,1,
ER,AW,,1,
ER,AB,,1,
ER,FT,,1,
ER,AM,,1,
ER,AL,,1,
AW,RH,,1,
AW,LK,,1,
AW,CM,,1,
AW,KP,,1,
AW,RK,,1,
RH,AW,,1,
RH,LK,,2,
RH,CM,,1,
RH,KP,,1,
RH,RK,,2,
LK,AW,,1,
LK,RH,,2,
LK,CM,,1,
LK,KP,,1,
LK,RK,,2,
CM,AW,,1,
CM,RH,,1,
CM,LK,,1,
CM,KP,,1,
CM,RK,,1,
KP,AW,,1,
KP,RH,,1,
KP,LK,,1,
KP,CM,,1,
KP,RK,,1,
RK,AW,,1,
RK,RH,,2,
RK,LK,,2,
RK,CM,,1,
RK,KP,,1,
AW,CLa,,1,
AW,AL,,1,
AW,SB,,1,
AW,CH,,1,
AW,MW,,1,
CLa,AW,,1,
CLa,AL,,2,
CLa,SB,,1,
CLa,CH,,1,
CLa,MW,,1,
AL,AW,,1,
AL,CLa,,2,
AL,SB,,1,
AL,CH,,1,
AL,MW,,1,
SB,AW,,1,
SB,CLa,,1,
SB,AL,,1,
SB,CH,,1,
SB,MW,,1,
CH,AW,,1,
CH,CLa,,1,
CH,AL,,1,
CH,SB,,1,
CH,MW,,1,
MW,AW,,1,
MW,CLa,,1,
MW,AL,,1,
MW,SB,,1,
MW,CH,,1,
AW,OS,,1,
OS,AW,,1,
